0	1	2	3	4	5	6
ACP6	0	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0	0
ACRC	0	0	0	0	0	0	0
ACSF2	0	0	0	0	0	0	0
ACSF3	0	0	0	0	0	0	0
ACSL1	0	0	0	0	0	0	0
ACSL3	0	0	0	0	0	0	0
ACSL4	0	0	0	0	0	0	0
ACSL5	0	0	0	0	0	0	0
ACSL6	0	0	0	0	0	0	0
ACSM1	0	0	0	0	0	0	0
ACSM3	0	0	0	0	0	0	0
ACSS1	0	0	0	0	0	0	0
ACSS2	0	0	0	0	0	0	0
ACTA2	0	0	0	0	0	0	0
ACTB	0	0	0	0	0	0	0
ACTG1	0	0	0	0	0	0	0
ACTL10	0	0	0	0	0	0	0
ACTL6A	0	0	0	0	0	0	0
ACTN1	0	0	0	0	0	0	0
ACTN1-AS1	0	0	0	0	0	0	0
ACTN4	0	0	0	0	0	0	0
ACTR10	0	0	0	0	0	0	0
ACTR1A	0	0	0	0	0	0	0
ACTR1B	0	0	0	0	0	0	0
ACTR2	0	0	0	0	0	0	0
ACTR3	0	0	0	0	0	0	0
ACTR3B	0	0	0	0	0	0	0
ACTR3C	0	0	0	0	0	0	0
ACTR5	0	0	0	0	0	0	0
ACTR6	0	0	0	0	0	0	0
ACTR8	0	0	0	0	0	0	0
ACVR1	0	0	0	0	0	0	0
ACVR1B	0	0	0	0	0	0	0
ACVR1C	0	0	0	0	0	0	0
ACVR2A	0	0	0	0	0	0	0
ACVR2B	0	0	0	0	0	0	0
ACY1	0	0	0	0	0	0	0
ACY3	0	0	0	0	0	0	0
ACYP1	0	0	0	0	0	0	0
ACYP2	0	0	0	0	0	0	0
AD000671.6	0	0	0	0	0	0	0
ADA	0	0	0	0	0	0	0
ADAL	0	0	0	0	0	0	0
ADAM10	0	0	0	0	0	0	0
ADAM12	0	0	0	0	0	0	0
ADAM15	0	0	0	0	0	0	0
ADAM17	0	0	0	0	0	0	0
ADAM19	0	0	0	0	0	0	0
ADAM20	0	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0	0
